exposure_id,exposure_ts,group,device,converted,revenue
1,2024-10-24 14:55:05,control,Desktop,0,0.0
2,2025-09-01 14:35:33,control,Mobile,0,0.0
3,2024-04-18 16:28:19,control,Mobile,1,38.35
4,2025-08-11 18:43:26,control,Desktop,0,0.0
5,2025-06-25 16:42:30,treatment,Desktop,0,0.0
6,2024-07-27 00:15:55,control,Mobile,0,0.0
7,2024-09-08 05:44:21,treatment,Desktop,0,0.0
8,2025-01-14 02:21:29,treatment,Desktop,0,0.0
9,2024-04-27 17:58:29,treatment,Mobile,0,0.0
10,2025-01-13 00:23:32,control,Tablet,0,0.0
11,2025-07-18 10:02:37,treatment,Mobile,0,0.0
12,2024-05-18 00:36:07,treatment,Desktop,1,39.55
13,2024-06-11 10:48:11,control,Mobile,0,0.0
14,2025-01-02 08:57:53,treatment,Mobile,0,0.0
15,2024-10-18 08:49:38,treatment,Desktop,0,0.0
16,2024-08-04 22:15:20,control,Mobile,0,0.0
17,2025-01-13 17:33:43,control,Desktop,0,0.0
18,2024-05-07 10:45:32,control,Mobile,0,0.0
19,2025-01-30 14:15:13,control,Mobile,0,0.0
20,2025-06-08 13:00:08,control,Mobile,0,0.0
21,2025-04-16 18:20:42,treatment,Desktop,0,0.0
22,2024-07-11 10:53:52,treatment,Desktop,0,0.0
23,2025-02-20 18:35:07,treatment,Mobile,0,0.0
24,2024-07-10 10:41:26,treatment,Desktop,0,0.0
25,2024-06-18 04:00:28,control,Mobile,0,0.0
26,2025-02-15 21:37:55,control,Mobile,0,0.0
27,2025-03-23 13:04:56,treatment,Desktop,0,0.0
28,2024-06-21 23:23:57,control,Mobile,0,0.0
29,2024-12-14 05:19:49,treatment,Mobile,0,0.0
30,2024-03-27 12:29:49,treatment,Desktop,0,0.0
31,2024-08-10 18:18:44,treatment,Tablet,0,0.0
32,2024-11-11 19:24:50,control,Mobile,0,0.0
33,2024-07-28 11:29:32,control,Desktop,0,0.0
34,2025-04-08 12:16:14,control,Mobile,1,15.99
35,2025-04-06 11:31:07,control,Desktop,0,0.0
36,2025-03-29 03:54:20,control,Desktop,0,0.0
37,2025-07-09 03:43:48,control,Desktop,0,0.0
38,2025-09-11 20:03:53,control,Mobile,0,0.0
39,2025-08-28 17:09:08,treatment,Desktop,0,0.0
40,2025-03-10 16:18:42,treatment,Mobile,0,0.0
41,2024-04-10 08:06:25,control,Desktop,0,0.0
42,2024-03-30 14:02:49,control,Mobile,0,0.0
43,2024-04-18 09:34:47,control,Desktop,0,0.0
44,2024-10-27 07:11:32,control,Desktop,0,0.0
45,2025-06-11 13:00:53,control,Desktop,0,0.0
46,2025-02-04 04:08:51,control,Mobile,0,0.0
47,2024-12-25 04:35:07,control,Mobile,0,0.0
48,2024-05-06 01:49:26,treatment,Mobile,0,0.0
49,2024-12-13 13:03:32,control,Desktop,0,0.0
50,2024-08-19 17:45:03,control,Desktop,0,0.0
51,2024-10-27 08:27:28,control,Desktop,0,0.0
52,2025-05-26 10:48:26,control,Desktop,0,0.0
53,2024-09-24 14:25:59,control,Tablet,0,0.0
54,2025-01-30 11:55:58,treatment,Desktop,0,0.0
55,2025-01-22 05:59:20,control,Desktop,0,0.0
56,2025-05-30 16:16:20,treatment,Desktop,0,0.0
57,2024-11-10 11:02:05,treatment,Desktop,0,0.0
58,2025-05-20 03:15:04,control,Desktop,0,0.0
59,2025-06-21 17:51:34,treatment,Desktop,0,0.0
60,2025-04-23 10:36:33,control,Desktop,0,0.0
61,2024-05-16 18:52:56,control,Desktop,0,0.0
62,2025-06-10 11:31:09,control,Desktop,0,0.0
63,2025-02-13 14:55:07,control,Mobile,0,0.0
64,2024-08-30 15:40:02,treatment,Tablet,0,0.0
65,2025-01-26 09:58:58,treatment,Desktop,0,0.0
